StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Q62,Q73,1,2,Q54,Q52,Q67,Q53,Q69,Q51,3,Q4,Q5,Q6,Q81_1,Q81_2,Q81_3,Q81_4,Q81_5,Q81_6,Q81_7,Q8,Q10,Q7,Q9,Q63,Q37,Q71,Q41,Q12,Q11,Q13,Q14,Q15,Q16,Q63.1,Q17,Q76_1,Q76_2,Q76_3,Q76_4,Q76_5,Q76_6,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q19_7,Q19_8,Q19_9,Q19_10,Q19_11,Q65_1,Q65_2,Q65_3,Q65_4,Q65_5,Q65_6,Q65_7,Q65_8,Q65_9,Q65_10,Q65_11,Q65_12,Q65_13,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q20_1,Q20_2,Q20_3,Q20_4,Q68,Q68_1,Q68_2,Q68_3,Q68_4,Q69.1,Q21,Q22_1,Q22_2,Q22_3,Q22_4,Q22_5,Q22_6,Q22_7,Q22_8,Q22_9,Q22_10,Q22_11,Q22_12,Q22_13,Q79_1,Q79_2,Q79_3,Q79_4,Q79_5,Q79_6,Q79_7,Q79_8,Q79_9,Q79_10,Q79_11,Q79_12,Q79_13,Q26,Q27,Q32#1_1,Q32#1_2,Q32#2_1,Q32#2_2,Q28#1_1,Q28#1_2,Q28#2_1,Q28#2_2,Q34#1_1,Q34#1_2,Q34#2_1,Q34#2_2,Q35_1,Q35_2,Q35_4,Q35_3,Q35_5,Q35_19,Q35_6,Q35_7,Q35_8,Q35_9,Q35_18,Q35_10,Q35_12,Q35_17,Q35_13,Q35_11,Q35_16,Q36#1_1_1,Q36#1_1_2,Q36#1_1_3,Q36#1_2_1,Q36#1_2_2,Q36#1_2_3,Q36#1_3_1,Q36#1_3_2,Q36#1_3_3,Q36#2_1,Q36#2_2,Q36#2_3,Q50#1_1,Q50#1_2,Q50#1_3,Q50#1_4,Q50#1_5,Q50#1_6,Q50#1_7,Q50#1_8,Q50#1_9,Q50#1_10,Q50#1_11,Q50#1_12,Q50#1_13,Q50#1_14,Q50#2_1,Q50#2_2,Q50#2_3,Q50#2_4,Q50#2_5,Q50#2_6,Q50#2_7,Q50#2_8,Q50#2_9,Q50#2_10,Q50#2_11,Q50#2_12,Q50#2_13,Q50#2_14,Q50#3_1,Q50#3_2,Q50#3_3,Q50#3_4,Q50#3_5,Q50#3_6,Q50#3_7,Q50#3_8,Q50#3_9,Q50#3_10,Q50#3_11,Q50#3_12,Q50#3_13,Q50#3_14,Q77_1,Q77_2,Q77_3,Q77_4,Q58#1_1,Q58#1_2,Q58#1_3,Q58#1_4,Q58#1_5,Q58#1_6,Q58#1_7,Q58#2_1,Q58#2_2,Q58#2_3,Q58#2_4,Q58#2_5,Q58#2_6,Q58#2_7,Q60
2019-07-08 06:14:00,7/8/2019 6:34,0,100,1188,1,7/8/2019 6:34,,,,,anonymous,EN,1,3,2,4,1,2,6,5,4,27.0,1,0,91,"4,5",3,3,2,3,1,4,4,30,4,1,91,,5,5,1,4,4,4,1,4,5,5,1,6,6,6,6,6,6,6,3,5,6,7,5,1,6,7,7,5,1,1,1,1,1,1,1,2,2,2,1,1,2,2,6,1,6,2,3,6,2,2,2,1,6,2,2,4,1,12,2,1,2,1,2,1,2,2,2,1,2,2,1,2,6,6,7,2,6,6,6,3,3,6,4,2,13,15,2,3,2,2,2,3,2,1,2,2,2,2,3,4,4,4,,4,7,4,5,,4,3,4,5,4,,,4,2,3,4,2,1,4,3,2,4,4,4,4,3,4,4,2,4,4,2,5,4,4,2,5,4,4,3,4,4,2,3,4,2,5,4,4,2,5,4,,,,,,,,,,,,,,,6,6,6,6,,,,,,,1,,,,,,,1,1
2019-07-08 09:13:00,7/8/2019 9:19,0,100,352,1,7/8/2019 9:19,,,,,anonymous,EN,1,3,2,1,4,2,6,9,4,23.0,2,4,48,3,3,4,4,5,2,4,4,25,2,1,2,3,3,3,2,4,2,,3,3,1,1,1,5,5,5,5,5,4,6,5,6,5,5,5,6,5,5,5,5,3,3,2,3,3,3,3,3,3,3,3,3,3,6,6,6,5,5,6,6,5,6,6,3,5,6,6,6,3,14,3,3,3,3,3,3,3,3,3,3,3,3,2,7,6,6,6,7,7,7,7,7,6,6,7,7,,,,,,,1,1,1,1,,,,,3,4,0,2,0,0,0,5,0,0,5,3,1,0,0,4,0,1,3,4,3,1,4,3,1,4,4,4,5,1,3,4,4,2,4,4,4,3,4,4,2,4,4,4,4,4,4,2,4,5,2,3,4,4,2,5,5,1,,,,,,,,,,,,,,6,6,6,6,,,,,,1,,,,,,,1,,1
2019-07-08 09:11:00,7/8/2019 9:26,0,100,944,1,7/8/2019 9:26,,,,,anonymous,EN,1,4,2,1,1,4,6,4,5,23.0,1,0,48,2,2,2,3,4,1,4,3,22,2,1,48,,3,5,1,4,4,4,3,3,4,5,3,6,6,3,6,6,5,7,6,7,6,5,6,2,6,2,5,6,1,1,1,4,2,1,1,2,3,3,4,2,2,2,5,5,5,2,3,5,2,1,7,4,6,2,5,2,1,14,2,1,3,3,3,1,1,1,1,1,2,2,1,5,7,7,4,4,3,6,6,6,4,7,5,4,,,,,,,1,1,1,1,,,,,7,7,6,0,0,10,,9,,,8,7,9,9,10,6,6,5,4,1,1,5,8,1,2,3,3,4,5,5,2,4,3,1,4,5,4,4,3,4,2,2,3,4,3,3,3,4,2,4,4,4,3,4,4,4,5,,,,,,,,,,,,,,,3,5,7,5,,,,,,,1,,,,,,,1,1
2019-07-08 09:11:00,7/8/2019 9:27,0,100,964,1,7/8/2019 9:27,,,,,anonymous,EN,1,4,2,4,1,2,6,9,5,19.0,4,1,16,2,1,1,1,2,1,4,4,19,2,4,16,18,5,5,1,5,5,5,1,4,5,5,3,7,7,7,7,6,7,7,2,7,6,7,7,1,6,6,7,7,1,1,1,1,1,1,1,2,2,2,1,1,2,1,6,2,6,1,1,7,1,2,2,1,7,2,2,5,1,12,2,2,2,2,2,2,2,1,1,1,2,2,1,2,6,2,5,2,2,2,5,7,7,7,3,2,10,10,3,2,2,2,2,2,1,2,2,2,2,2,7,4,4,,,8,5,5,,7,,7,6,8,3,,,2,1,4,2,1,4,2,1,4,5,,,5,1,4,5,1,3,5,1,4,5,5,2,4,5,5,2,4,5,1,4,5,1,4,5,5,1,5,5,,,,,,,,,,,,,,,6,6,7,7,,,1,,,,,,,,,,,1,1
2019-07-08 09:11:00,7/8/2019 9:29,0,100,1045,1,7/8/2019 9:29,,,,,anonymous,EN,1,,1,1,1,2,6,4,3,27.0,2,1,58,4,3,3,2,2,2,4,4,26,1,1,58,68,5,5,1,5,5,4,1,4,5,5,1,7,6,6,7,7,7,6,2,7,7,7,7,1,6,6,6,6,1,1,1,1,1,1,1,2,2,2,1,1,2,2,6,2,6,2,2,7,1,1,4,1,6,1,6,1,1,14,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,1,4,2,6,2,1,2,2,2,6,7,,,,,,,1,1,1,1,,,,,2,4,4,5,4,4,,3,,7,1,2,,7,8,,,4,1,2,4,1,2,4,1,2,5,5,5,5,1,5,5,1,5,5,1,5,5,5,2,5,5,5,1,5,5,1,5,5,1,5,5,5,2,5,5,,,,,,,,,,,,,,,6,6,6,6,,,,,1,,,,,,,1,,,1
2019-07-08 09:15:00,7/8/2019 9:29,0,100,860,1,7/8/2019 9:29,,,,,anonymous,EN,1,,2,1,1,2,8,9,5,25.0,3,1,36,"2,4",4,3,3,4,1,4,4,24,2,1,25,26,5,5,1,5,4,4,1,4,5,5,1,5,6,7,7,5,7,6,6,6,4,6,6,2,6,6,6,6,1,3,1,1,1,1,1,2,2,2,1,1,2,2,6,3,6,2,2,6,3,5,2,1,5,2,2,2,1,14,5,1,1,5,1,1,1,3,1,3,3,5,2,2,5,5,5,2,2,2,2,2,2,2,7,6,,,,,,,1,1,1,1,,,,,8,7,5,8,,8,,6,,8,1,8,2,7,0,,,4,3,9,4,9,3,9,4,2,3,3,3,3,3,4,2,3,3,4,4,4,2,4,4,3,2,3,5,4,2,4,3,4,4,4,2,4,4,2,2,,,,,,,,,,,,,,,3,5,5,5,,,,,1,,,,,,,1,,,1
2019-07-08 09:14:00,7/8/2019 9:30,0,100,967,1,7/8/2019 9:30,,,,,anonymous,EN,1,,2,1,1,2,6,4,4,24.0,2,1,35,1,3,3,3,4,2,5,3,24,2,1,35,36,4,5,2,4,2,2,3,3,5,5,3,6,5,7,5,5,6,3,5,6,6,6,7,2,6,6,6,6,1,1,1,2,,3,4,2,3,2,1,2,2,4,5,3,5,3,3,5,3,2,5,2,7,1,2,1,1,12,2,1,2,2,5,1,2,1,5,1,2,2,1,2,7,6,5,2,2,2,6,6,6,7,5,1,5,6,1,3,1,2,2,,,2,2,2,2,2,7,3,3,8,,9,7,10,,8,,5,8,10,5,,,4,11,1,1,11,4,1,2,6,5,5,5,5,2,5,5,1,4,5,4,4,5,5,1,5,4,5,3,5,4,1,4,5,4,4,5,5,1,5,5,,,,,,,,,,,,,,,5,6,7,7,,,,,1,,,,,1,,,,,1
2019-07-08 09:11:00,7/8/2019 9:31,0,100,1177,1,7/8/2019 9:31,,,,,anonymous,EN,1,3,2,1,1,8,8,5,2,25.0,3,10,36,4,3,3,2,2,2,5,5,23,2,1,14,18,5,5,1,4,4,3,2,4,5,5,3,5,7,6,5,7,6,6,4,2,6,6,5,1,5,6,5,3,1,1,1,1,1,2,1,2,4,2,1,1,1,3,6,1,5,1,1,7,1,1,1,1,5,6,1,1,2,12,2,2,3,2,1,5,2,1,1,1,2,5,1,4,6,6,4,2,1,9,7,7,7,7,5,1,10,12,1,3,2,2,3,1,2,1,3,2,2,2,,1,2,7,,,,4,2,8,4,3,1,,3,,6,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2019-07-08 09:12:00,7/8/2019 9:31,0,100,1124,1,7/8/2019 9:31,,,,,anonymous,EN,1,3,2,1,1,2,6,4,5,26.0,2,2,46,"2,4",3,3,2,2,2,4,4,26,2,1,46,50,5,5,1,5,5,5,1,5,5,5,1,7,7,7,7,7,7,7,2,7,7,7,7,1,7,7,7,7,1,1,1,1,1,1,1,2,2,2,1,1,2,1,6,1,6,1,1,7,1,1,1,1,7,1,1,1,1,14,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,1,2,2,1,2,2,1,7,7,,,,,,,1,1,1,1,,,,,4,1,,3,,,,,,5,0,0,0,2,5,0,,4,1,3,4,1,2,4,1,2,5,5,5,5,1,5,3,1,4,4,2,5,4,4,2,4,4,5,1,5,5,1,4,5,1,5,5,5,2,5,5,,,,,,,,,,,,,,,7,7,7,7,,,,,,,1,,,,,,,1,1
2019-07-08 09:16:00,7/8/2019 9:31,0,100,902,1,7/8/2019 9:31,,,,,anonymous,EN,1,4,2,1,1,2,6,7,4,21.0,4,3,16,2,3,4,1,1,4,3,3,23,2,4,16,28,5,5,1,5,5,5,1,5,5,5,1,6,6,7,6,6,7,7,2,7,6,6,7,1,6,7,7,6,1,1,1,1,1,1,1,2,2,2,1,1,2,2,6,2,6,2,2,7,2,2,4,1,5,4,2,3,4,14,1,1,1,1,1,1,2,3,2,2,1,2,2,1,3,3,2,1,4,2,2,3,2,2,6,7,,,,,,,,,,,,,,,7,3,5,4,9,9,,6,,4,1,7,1,8,2,6,8,4,3,1,4,1,3,4,1,2,5,5,5,5,3,3,3,2,2,4,2,4,4,4,2,4,4,5,3,3,3,2,2,4,2,4,4,4,2,4,4,,,,,,,,,,,,,,,5,6,6,5,,,,,,,1,,,,,,,1,1
