e1,d1,d2,d4,d5,d6,r1,r2,r3,r5,r6,r7,r8,r9,r10,r11,r13,r15,r19,r20,r21,r22,r24,r25,r26,r27,r28,f1,f3,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,f15,f16,f17,r12,r14,r16,r18,f4,f18,f19,f20,f21,f22,f23,f24,r17,f2,d1_transformed,d1_1,d1_2,d2_transformed,d3,d3_1,d3_2,d3_3,d3_4,d3_5,d4_transformed,d4_1,d4_2,d5_poly_1,d5_poly_2,d5_poly_3,d5_poly_4,r6_poly_1,r6_poly_2,r6_poly_3,r11_poly_1,r11_poly_2,r11_poly_3,r11_poly_4,r4,r28_1,r28_2,r28_3,f25,f26
3.0,2,4,2,4,27.0,1,0,91,30,1.0,91,,5.0,5.0,1.0,5.0,6.0,6.0,2.0,2.0,2.0,6.0,2.0,2.0,4.0,1.0,12.0,2.0,7.0,2.0,6.0,6.0,6.0,3.0,3.0,6.0,4.0,2.0,3.0,4.0,4.0,4.0,,4.0,7.0,4.0,5.0,,4.0,3.0,4.0,5.0,4.0,,,4.0,4.0,4.0,4.428571428571429,6.0,6.0,6.0,6.0,4.166666666666667,2.25,4.25,4.0,2.25,4.25,6.0,13.0,-3.0,2,0,1,1,1,1,0,0,0,0,2,0,1,-2.888273749001182e-17,-0.5345224838248488,5.325711757517155e-16,0.7171371656006362,-0.6708203932499368,0.5,-0.223606797749979,-0.6324555320336759,0.5345224838248488,-0.3162277660168377,0.1195228609334393,1,1,0,0,1.0,1.0
3.0,2,1,2,4,23.0,2,4,48,25,1.0,2,3,3.0,3.0,2.0,1.0,4.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0,3.0,14.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,7.0,3.0,4.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,3.0,1.0,0.0,0.0,4.0,0.0,4.0,4.0,5.0,3.0,5.0,4.727272727272728,3.333333333333333,6.0,3.333333333333333,2.75,4.0,3.8333333333333335,2.5,4.75,6.0,1.0,4.0,2,0,1,0,4,0,0,0,1,0,2,0,1,-2.888273749001182e-17,-0.5345224838248488,5.325711757517155e-16,0.7171371656006362,-0.6708203932499368,0.5,-0.223606797749979,-0.3162277660168378,-0.2672612419124246,0.6324555320336759,-0.478091443733758,0,0,0,1,1.0,1.0
4.0,2,1,4,5,23.0,1,0,48,22,1.0,48,,3.0,5.0,1.0,5.0,5.0,5.0,2.0,1.0,7.0,6.0,2.0,5.0,2.0,1.0,14.0,5.0,4.0,4.0,3.0,6.0,6.0,6.0,4.0,7.0,5.0,4.0,7.0,7.0,6.0,0.0,0.0,10.0,,9.0,,,8.0,7.0,9.0,9.0,10.0,6.0,6.0,3.0,4.0,5.0,3.571428571428572,5.4,5.2727272727272725,5.0,7.0,3.8333333333333335,2.25,3.5,3.1666666666666665,3.75,4.25,5.0,5.0,-2.5,2,0,1,0,1,1,0,0,0,0,3,0,0,0.3162277660168378,-0.2672612419124245,-0.6324555320336763,-0.4780914437337568,-0.6708203932499368,0.5,-0.223606797749979,-0.6324555320336759,0.5345224838248488,-0.3162277660168377,0.1195228609334393,1,1,0,0,1.0,1.0
4.0,2,4,2,5,19.0,4,1,16,19,4.0,16,18,5.0,5.0,1.0,5.0,7.0,7.0,1.0,2.0,2.0,7.0,2.0,2.0,5.0,1.0,12.0,2.0,5.0,2.0,2.0,2.0,5.0,7.0,7.0,7.0,3.0,2.0,7.0,4.0,4.0,,,8.0,5.0,5.0,,7.0,,7.0,6.0,8.0,3.0,,,5.0,,,4.571428571428571,6.8,6.636363636363637,6.5,4.0,4.333333333333333,1.25,4.75,4.5,1.25,5.0,6.5,13.0,-13.0,2,0,1,1,1,1,0,0,0,0,2,0,1,0.3162277660168378,-0.2672612419124245,-0.6324555320336763,-0.4780914437337568,0.6708203932499369,0.4999999999999999,0.223606797749979,-0.6324555320336759,0.5345224838248488,-0.3162277660168377,0.1195228609334393,1,1,0,0,0.0,1.0
,1,1,2,3,27.0,2,1,58,26,1.0,58,68,5.0,5.0,1.0,5.0,7.0,7.0,1.0,1.0,4.0,6.0,1.0,6.0,1.0,1.0,14.0,1.0,4.0,2.0,6.0,2.0,1.0,2.0,2.0,2.0,6.0,7.0,2.0,4.0,4.0,5.0,4.0,4.0,,3.0,,7.0,1.0,2.0,,7.0,8.0,,,5.0,5.0,5.0,4.714285714285714,6.6,6.454545454545454,6.0,1.5,5.0,1.25,5.0,5.0,1.25,5.0,6.0,13.0,13.0,1,1,0,0,1,1,0,0,0,0,2,0,1,-0.3162277660168378,-0.2672612419124246,0.6324555320336759,-0.478091443733758,-0.6708203932499368,0.5,-0.223606797749979,-0.6324555320336759,0.5345224838248488,-0.3162277660168377,0.1195228609334393,1,1,0,0,0.0,0.0
,2,1,2,5,25.0,3,1,36,24,1.0,25,26,5.0,5.0,1.0,5.0,7.0,6.0,3.0,5.0,2.0,5.0,2.0,2.0,2.0,1.0,14.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,6.0,8.0,7.0,5.0,8.0,,8.0,,6.0,,8.0,1.0,8.0,2.0,7.0,0.0,,,3.0,3.0,3.0,4.571428571428571,6.0,5.454545454545454,5.833333333333333,5.0,3.0,3.5,3.25,3.0,4.25,3.0,4.5,12.5,4.5,2,0,1,0,1,1,0,0,0,0,2,0,1,0.3162277660168378,-0.2672612419124245,-0.6324555320336763,-0.4780914437337568,-0.6708203932499368,0.5,-0.223606797749979,-0.6324555320336759,0.5345224838248488,-0.3162277660168377,0.1195228609334393,1,1,0,0,0.0,0.0
,2,1,2,4,24.0,2,1,35,24,1.0,35,36,4.0,5.0,2.0,5.0,6.0,5.0,3.0,2.0,5.0,7.0,1.0,2.0,1.0,1.0,12.0,2.0,5.0,2.0,2.0,2.0,6.0,6.0,6.0,7.0,5.0,1.0,7.0,3.0,3.0,8.0,,9.0,7.0,10.0,,8.0,,5.0,8.0,10.0,5.0,,,5.0,5.0,5.0,3.142857142857143,5.6,5.545454545454546,4.833333333333333,6.5,4.666666666666667,2.0,4.75,4.5,2.25,5.0,6.25,5.5,-7.0,2,0,1,0,1,1,0,0,0,0,2,0,1,-2.888273749001182e-17,-0.5345224838248488,5.325711757517155e-16,0.7171371656006362,-0.6708203932499368,0.5,-0.223606797749979,-0.3162277660168378,-0.2672612419124246,0.6324555320336759,-0.478091443733758,0,1,0,0,0.0,0.0
3.0,2,1,8,2,25.0,3,10,36,23,1.0,14,18,5.0,5.0,1.0,5.0,6.0,7.0,1.0,1.0,1.0,5.0,6.0,1.0,1.0,2.0,12.0,4.0,4.0,2.0,1.0,9.0,7.0,7.0,7.0,7.0,5.0,1.0,,1.0,2.0,7.0,,,,4.0,2.0,8.0,4.0,3.0,1.0,,3.0,,6.0,,,,3.857142857142857,6.0,5.0,6.166666666666667,6.0,,,,,,,,7.5,-7.5,2,0,1,0,1,1,0,0,0,0,3,0,0,-0.6324555320336759,0.5345224838248488,-0.3162277660168377,0.1195228609334393,-0.6708203932499368,0.5,-0.223606797749979,-0.6324555320336759,0.5345224838248488,-0.3162277660168377,0.1195228609334393,1,0,1,0,,
3.0,2,1,2,5,26.0,2,2,46,26,1.0,46,50,5.0,5.0,1.0,5.0,7.0,7.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,14.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,7.0,7.0,4.0,1.0,,3.0,,,,,,5.0,0.0,0.0,0.0,2.0,5.0,0.0,,5.0,5.0,5.0,5.0,7.0,6.909090909090909,6.666666666666667,2.0,4.333333333333333,1.5,4.0,4.833333333333333,1.25,5.0,7.0,13.0,13.0,2,0,1,0,1,1,0,0,0,0,2,0,1,0.3162277660168378,-0.2672612419124245,-0.6324555320336763,-0.4780914437337568,-0.6708203932499368,0.5,-0.223606797749979,-0.6324555320336759,0.5345224838248488,-0.3162277660168377,0.1195228609334393,1,1,0,0,1.0,1.0
4.0,2,1,2,4,21.0,4,3,16,23,4.0,16,28,5.0,5.0,1.0,5.0,7.0,7.0,2.0,2.0,4.0,5.0,4.0,2.0,3.0,4.0,14.0,1.0,2.0,1.0,4.0,2.0,2.0,3.0,2.0,2.0,6.0,7.0,7.0,3.0,5.0,4.0,9.0,9.0,,6.0,,4.0,1.0,7.0,1.0,8.0,2.0,6.0,8.0,5.0,5.0,5.0,5.0,6.2,6.545454545454546,6.0,3.0,3.5,2.25,4.0,3.5,2.25,4.0,5.5,13.0,7.5,2,0,1,0,1,1,0,0,0,0,2,0,1,-2.888273749001182e-17,-0.5345224838248488,5.325711757517155e-16,0.7171371656006362,0.6708203932499369,0.4999999999999999,0.223606797749979,-0.6324555320336759,0.5345224838248488,-0.3162277660168377,0.1195228609334393,1,0,0,0,1.0,1.0
